"gene","nint","nsig","z","npos","nneg","posfrac","enriched","canonical","oncogenes","tsgenes","role","type"
"FBXW7",730,319,10.8151357628476,243,76,0.761755485893417,1,1,0,1,"TSG","WCT"
"FCER1A",44,2,0.11894493896803,0,2,0,0,0,0,0,"unknown","WCT"
"FCF1",162,19,1.61408645911538,5,14,0.263157894736842,0,0,0,0,"unknown","WCT"
"FCGR2B",40,0,-0.999393892759506,0,0,NA,0,1,1,0,"OG","WCT"
"FCGR3A",84,4,0.00957471436163787,0,4,0,0,0,0,0,"unknown","WCT"
"FCRL1",11,0,-0.709681218931409,0,0,NA,0,0,0,0,"unknown","WCT"
"FCRL4",14,1,0.446799316952958,0,1,0,0,1,1,0,"OG","WCT"
"FDXR",67,4,0.297593206023491,3,1,0.75,0,0,0,0,"unknown","WCT"
"FEM1A",116,3,-0.688153458329399,3,0,1,0,0,0,0,"unknown","WCT"
"FEN1",192,12,0.390638339519435,9,3,0.75,0,1,0,1,"TSG","WCT"
"FERD3L",13,0,-0.742225406412549,0,0,NA,0,0,0,0,"unknown","WCT"
"FES",64,4,0.299369254538214,3,1,0.75,0,1,0,0,"unknown","WCT"
"FGA",112,4,-0.284866101338763,3,1,0.75,0,0,0,0,"unknown","WCT"
"FGB",217,9,-0.175875748710692,5,4,0.555555555555556,0,0,0,0,"unknown","WCT"
"FGF19",23,1,-0.165395165075285,1,0,1,0,0,0,0,"unknown","WCT"
"FGF2",78,3,-0.221567206000204,1,2,0.333333333333333,0,0,0,0,"unknown","WCT"
"FGF5",37,2,0.0734068777474904,1,1,0.5,0,0,0,0,"unknown","WCT"
"FGFBP1",238,21,0.997650121560983,11,10,0.523809523809524,0,0,0,0,"unknown","WCT"
"FGFR1",483,23,-0.0243777409761334,12,11,0.521739130434783,0,1,1,0,"OG","WCT"
"FGFR2",198,29,2.73557295788922,6,23,0.206896551724138,0,1,1,0,"OG","WCT"
"FGFR3",496,236,12.8980987055605,88,148,0.372881355932203,1,1,1,0,"OG","WCT"
"FGFR4",371,22,0.543289359144306,6,16,0.272727272727273,0,1,1,0,"OG","WCT"
"FH",161,7,-0.165127554267305,5,2,0.714285714285714,0,1,0,1,"TSG","WCT"
"FHIT",26,1,-0.20549328006448,1,0,1,0,1,0,1,"TSG","WCT"
"FHOD1",79,5,0.276454858970636,2,3,0.4,0,0,0,0,"unknown","WCT"
"FIGNL1",46,0,-1.32171869113948,0,0,NA,0,0,0,0,"unknown","WCT"
"FILIP1L",13,0,-0.693034652598966,0,0,NA,0,0,0,0,"unknown","WCT"
"FIZ1",16,0,-0.783613828943435,0,0,NA,0,0,0,0,"unknown","WCT"
"FKBP9",71,3,-0.185325953575792,2,1,0.666666666666667,0,1,0,0,"unknown","WCT"
"FLCN",97,5,-0.0867670277828287,2,3,0.4,0,1,0,1,"TSG","WCT"
"FLG",99,12,1.93804244697824,9,3,0.75,0,0,0,0,"unknown","WCT"
"FLI1",35,2,0.176196754133688,2,0,1,0,1,1,0,"OG","WCT"
"FLII",227,10,-0.114475835166144,7,3,0.7,0,0,0,0,"unknown","WCT"
"FLNA",626,38,0.239456681781606,31,7,0.81578947368421,0,1,0,0,"unknown","WCT"
"FLRT2",41,3,0.495348414386391,1,2,0.333333333333333,0,0,0,0,"unknown","WCT"
"FLT1",164,14,0.688087283997934,6,8,0.428571428571429,0,0,0,0,"unknown","WCT"
"FLT3",259,11,-0.339141707163621,10,1,0.909090909090909,0,1,1,0,"OG","WCT"
"FLT4",284,31,1.94774475798623,16,15,0.516129032258065,0,1,1,0,"OG","WCT"
"FLYWCH1",25,0,-0.877225909723128,0,0,NA,0,0,0,0,"unknown","WCT"
"FMN2",58,5,0.915171570539043,3,2,0.6,0,0,0,0,"unknown","WCT"
"FMNL3",32,0,-0.978438030836749,0,0,NA,0,0,0,0,"unknown","WCT"
"FMR1",289,22,0.697353206898235,13,9,0.590909090909091,0,0,0,0,"unknown","WCT"
"FN3KRP",37,2,-0.0212373505161921,1,1,0.5,0,0,0,0,"unknown","WCT"
"FNBP1L",51,2,-0.129619417592265,1,1,0.5,0,0,0,0,"unknown","WCT"
"FOLH1",24,2,0.799708875182484,0,2,0,0,0,0,0,"unknown","WCT"
"FOXA1",429,51,1.32063450137673,20,31,0.392156862745098,0,1,1,0,"OG","WCT"
"FOXA2",35,4,1.46728562714477,2,2,0.5,0,0,0,0,"unknown","WCT"
"FOXE1",76,2,-0.510112604166916,2,0,1,0,0,0,0,"unknown","WCT"
"FOXK1",207,10,-0.0475900369389968,9,1,0.9,0,0,0,0,"unknown","WCT"
"FOXK2",199,5,-0.760878417957584,2,3,0.4,0,0,0,0,"unknown","WCT"
"FOXL2",57,5,0.566096581291487,4,1,0.8,0,1,1,0,"OG","WCT"
