"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"FKBP1A",58,2,-0.559188074402305,1,1,0.5,0,2,10,1,0,3,10,3,2,1,"WCT","mixed","both",0,0,0,0
"FKBP1B",6,0,-0.583648148536704,0,0,0,0,0,6,0,3,0,9,0,0,0,"WCT","negative","none",0,0,0,0
"FKBP2",11,1,0.586976352045429,0,1,0,0,1,4,1,3,2,7,2,1,1,"WCT","negative","both",0,0,0,0
"FKBP3",39,2,-0.102881959680977,1,1,0.5,0,2,7,0,4,2,11,2,2,0,"WCT","mixed","positive",0,0,0,0
"FKBP4",49,1,-1.14082913184716,0,1,0,0,2,8,0,4,2,12,2,2,0,"WCT","negative","positive",0,0,0,0
"FKBP5",83,3,-0.510633749364008,1,2,0.333333333333333,0,1,6,0,2,1,8,1,1,0,"WCT","mixed","positive",0,0,0,0
"FKBP6",23,1,-0.281483391115408,0,1,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FKBP7",8,1,1.2402523156405,1,0,1,0,1,8,0,1,1,9,1,1,0,"WCT","positive","positive",0,0,0,0
"FKBP8",74,3,-0.444065885951521,1,2,0.333333333333333,0,1,3,2,2,3,5,3,1,2,"WCT","mixed","both",0,0,0,0
"FKBP9",19,2,1.48729220520967,0,2,0,0,2,9,0,1,2,10,2,2,0,"WCT","negative","positive",1,1,0,0
"FKBPL",22,5,3.75079001686426,1,4,0.2,0,0,4,0,4,0,8,0,0,0,"WCT","negative","none",0,0,0,0
"FKRP",3,0,-0.421423498826452,0,0,0,0,1,5,1,2,2,7,2,1,1,"WCT","negative","both",0,0,0,0
"FKTN",2,0,-0.33166247903554,0,0,0,0,1,7,1,1,2,8,2,1,1,"WCT","negative","both",0,0,0,0
"FLAD1",20,1,0.119782411425704,0,1,0,0,1,12,0,2,1,14,1,1,0,"WCT","negative","positive",0,0,0,0
